,location_easting_osgr,location_northing_osgr,longitude,latitude,accident_severity,day_of_week,first_road_class,road_type,speed_limit,second_road_class,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,urban_or_rural_area,time_slot,vehicle_type,sex_of_driver,age_band_of_driver,engine_capacity_cc,driver_home_area_type
location_easting_osgr,1.0,-0.4049351583067164,0.9994256472816685,-0.40808186650482814,0.06619990895772858,0.004929773493022098,-0.0018483154863788037,-0.01713702034531353,-0.13068164337618293,0.047756266564647716,0.005379665736328831,0.015586546979739893,0.004260044711343597,0.06035890189190707,-0.11278975863257171,0.001747812025270817,-0.049829491832732595,-0.02924703543888341,-0.03209692981612125,-0.028640729058536686,-0.09967420036282885
location_northing_osgr,-0.4049351583067164,1.0,-0.4120683675254146,0.9999683255383661,-0.0977935819623315,-0.005908045717246272,0.014044642522640767,0.022262088904598704,0.11858576619017575,-0.050933430138156856,-0.01648083864776031,0.0015191339842646106,0.0019149482136887933,-0.053229946025692615,0.07543873495021458,0.008724444568221128,0.0531607581880405,0.011265566066744517,0.023889444377024883,0.04716424667268355,0.08524588425035864
longitude,0.9994256472816685,-0.4120683675254146,1.0,-0.41512217852878974,0.06748939675008647,0.005053918112195342,-4.0738109544573684e-05,-0.01696967978449898,-0.12933622020569804,0.047947855623581295,0.005498576917166198,0.01527626328534218,0.0035244242500681966,0.059514419218361626,-0.11025899702417888,0.0014113748339913317,-0.049492571111774276,-0.028864456939185396,-0.03217051969927032,-0.028717240086884536,-0.09872474541329333
latitude,-0.40808186650482814,0.9999683255383661,-0.41512217852878974,1.0,-0.09764932635287973,-0.005883768120869462,0.014018413444844186,0.022092302048237384,0.11843046517253028,-0.050537481954080185,-0.016381908723328044,0.001525629436382067,0.0018079493236474234,-0.053389585089756164,0.07502661511345154,0.00880178952950536,0.053160105911966085,0.011280491546053834,0.02375396454119399,0.04723500418450534,0.08442097594064855
accident_severity,0.06619990895772858,-0.0977935819623315,0.06748939675008647,-0.09764932635287973,1.0,0.0067201563146351865,0.015254786882992016,-0.03378449318577215,-0.11942094220927395,0.057536890009883476,-0.050103523714119524,0.03588082514699139,0.022157067468246576,0.03770808241448198,-0.11793679360454079,-0.004535842598229843,-0.010886199380863864,0.06056522166679951,-0.03380159156955824,-0.03306594250932705,-0.06466279373917173
day_of_week,0.004929773493022098,-0.005908045717246272,0.005053918112195342,-0.005883768120869462,0.0067201563146351865,1.0,-0.001690625490895644,-0.0029259881601841524,-0.006317723948728834,0.0005681772466473385,0.016091164880327063,0.0012528799177719426,-0.00514980470029536,0.0004668013638285262,-0.005942686195900002,0.0373073483618047,-0.007582793305305681,-0.003936009748274323,9.469668016509778e-05,-0.004741902120327551,-0.0013450861119472933
first_road_class,-0.0018483154863788037,0.014044642522640767,-4.0738109544573684e-05,0.014018413444844186,0.015254786882992016,-0.001690625490895644,1.0,0.3011365595161899,-0.3716274837503356,0.14152598330003824,-0.03267481397609243,0.006561988887696828,-0.010434145181390313,-0.019999034032086117,-0.20861857044510362,0.028706636357995183,-0.04310504176697077,0.04447736105885875,-0.00048053894334398,-0.07454185038233907,-0.01322604305009652
road_type,-0.01713702034531353,0.022262088904598704,-0.01696967978449898,0.022092302048237384,-0.03378449318577215,-0.0029259881601841524,0.3011365595161899,1.0,-0.19672884687382225,0.06280201064828567,-0.00496854913976704,0.03221708392527954,0.05608498105267871,0.0699388943292217,-0.04516348013481923,0.022873505330214646,-0.03539704321972274,0.011750075699433813,0.0073030935024766975,-0.049579204045023355,0.05780539808545995
speed_limit,-0.13068164337618293,0.11858576619017575,-0.12933622020569804,0.11843046517253028,-0.11942094220927395,-0.006317723948728834,-0.3716274837503356,-0.19672884687382225,1.0,-0.33435283840742136,0.06208563557125431,-0.03087226731146514,0.021685745560389054,-0.04013094998468316,0.6774072159226512,-0.05352099120068769,0.1302279771738918,-0.0012762714759323149,0.018805591745522404,0.11019024133437877,0.2418446802294358
second_road_class,0.047756266564647716,-0.050933430138156856,0.047947855623581295,-0.050537481954080185,0.057536890009883476,0.0005681772466473385,0.14152598330003824,0.06280201064828567,-0.33435283840742136,1.0,-0.04932030432543381,0.000802656883919969,-0.021608867476388068,0.0029055011970757537,-0.2729714173618669,0.035028984771609296,-0.0692113679736652,0.0139352342440738,-0.004370469956048812,-0.06900342303190386,-0.09054430786099833
light_conditions,0.005379665736328831,-0.01648083864776031,0.005498576917166198,-0.016381908723328044,-0.050103523714119524,0.016091164880327063,-0.03267481397609243,-0.00496854913976704,0.06208563557125431,-0.04932030432543381,1.0,0.10663539655849097,0.16550224353288098,0.02836777137520216,0.03852168729965416,0.2320899967798559,-0.03487612978016387,-0.0750392255360741,-0.13026653608814892,-0.015410150055416233,-0.00217517135930019
weather_conditions,0.015586546979739893,0.0015191339842646106,0.01527626328534218,0.001525629436382067,0.03588082514699139,0.0012528799177719426,0.006561988887696828,0.03221708392527954,-0.03087226731146514,0.000802656883919969,0.10663539655849097,1.0,0.3356175381506461,0.13303607745565077,-0.029042462017803347,-0.00471290377660574,-0.016198807498697426,0.002409612709525235,-0.027430564283274932,-0.013528526727077161,-0.020037089735665103
road_surface_conditions,0.004260044711343597,0.0019149482136887933,0.0035244242500681966,0.0018079493236474234,0.022157067468246576,-0.00514980470029536,-0.010434145181390313,0.05608498105267871,0.021685745560389054,-0.021608867476388068,0.16550224353288098,0.3356175381506461,1.0,0.2676299627675431,0.013058784163277505,-0.027414374833078167,-0.013313801785898716,-0.011171408433977998,-0.03841451119447971,-0.012129407457850927,-0.0002702320861149037
special_conditions_at_site,0.06035890189190707,-0.053229946025692615,0.059514419218361626,-0.053389585089756164,0.03770808241448198,0.0004668013638285262,-0.019999034032086117,0.0699388943292217,-0.04013094998468316,0.0029055011970757537,0.02836777137520216,0.13303607745565077,0.2676299627675431,1.0,-0.029916774593103847,0.0011524630021970176,-0.04201288925134759,-0.020960761401427122,-0.019587035758780215,-0.02969910926412926,-0.028692986883188477
urban_or_rural_area,-0.11278975863257171,0.07543873495021458,-0.11025899702417888,0.07502661511345154,-0.11793679360454079,-0.005942686195900002,-0.20861857044510362,-0.04516348013481923,0.6774072159226512,-0.2729714173618669,0.03852168729965416,-0.029042462017803347,0.013058784163277505,-0.029916774593103847,1.0,-0.06074540806998829,0.10575183131440374,0.010242435914532137,0.042206524816224375,0.08002738092797218,0.34941619530988577
time_slot,0.001747812025270817,0.008724444568221128,0.0014113748339913317,0.00880178952950536,-0.004535842598229843,0.0373073483618047,0.028706636357995183,0.022873505330214646,-0.05352099120068769,0.035028984771609296,0.2320899967798559,-0.00471290377660574,-0.027414374833078167,0.0011524630021970176,-0.06074540806998829,1.0,-0.07397311662054022,-0.01718109764027547,-0.06480470918936328,-0.058381743753423254,-0.03195764195547502
vehicle_type,-0.049829491832732595,0.0531607581880405,-0.049492571111774276,0.053160105911966085,-0.010886199380863864,-0.007582793305305681,-0.04310504176697077,-0.03539704321972274,0.1302279771738918,-0.0692113679736652,-0.03487612978016387,-0.016198807498697426,-0.013313801785898716,-0.04201288925134759,0.10575183131440374,-0.07397311662054022,1.0,-0.05019599333369536,0.10055203744589782,0.48295245011111704,0.045634881748485026
sex_of_driver,-0.02924703543888341,0.011265566066744517,-0.028864456939185396,0.011280491546053834,0.06056522166679951,-0.003936009748274323,0.04447736105885875,0.011750075699433813,-0.0012762714759323149,0.0139352342440738,-0.0750392255360741,0.002409612709525235,-0.011171408433977998,-0.020960761401427122,0.010242435914532137,-0.01718109764027547,-0.05019599333369536,1.0,0.006894702881269261,-0.09886977574562267,0.05029525293314717
age_band_of_driver,-0.03209692981612125,0.023889444377024883,-0.03217051969927032,0.02375396454119399,-0.03380159156955824,9.469668016509778e-05,-0.00048053894334398,0.0073030935024766975,0.018805591745522404,-0.004370469956048812,-0.13026653608814892,-0.027430564283274932,-0.03841451119447971,-0.019587035758780215,0.042206524816224375,-0.06480470918936328,0.10055203744589782,0.006894702881269261,1.0,0.1299415678526649,0.06687817218364028
engine_capacity_cc,-0.028640729058536686,0.04716424667268355,-0.028717240086884536,0.04723500418450534,-0.03306594250932705,-0.004741902120327551,-0.07454185038233907,-0.049579204045023355,0.11019024133437877,-0.06900342303190386,-0.015410150055416233,-0.013528526727077161,-0.012129407457850927,-0.02969910926412926,0.08002738092797218,-0.058381743753423254,0.48295245011111704,-0.09886977574562267,0.1299415678526649,1.0,0.043769202205748425
driver_home_area_type,-0.09967420036282885,0.08524588425035864,-0.09872474541329333,0.08442097594064855,-0.06466279373917173,-0.0013450861119472933,-0.01322604305009652,0.05780539808545995,0.2418446802294358,-0.09054430786099833,-0.00217517135930019,-0.020037089735665103,-0.0002702320861149037,-0.028692986883188477,0.34941619530988577,-0.03195764195547502,0.045634881748485026,0.05029525293314717,0.06687817218364028,0.043769202205748425,1.0
